OBJECTID,APN,APN_8,PARCELID,FRACTINT,LEGLDESC,ASR_LAND,ASR_IMPR,ASR_TOTAL,DOCTYPE,DOCNMBR,DOCDATE,ACREAGE,TAXSTAT,OWNEROCC,TRANUM,ASR_ZONE,UNITQTY,SUBMAP,SUBNAME,BEDROOMS,BATHS,POOL,PAR_VIEW,SITUS_ZIP,X_COORD,Y_COORD,SUB_TYPE,MULTI,Shape_Length,Shape_Area,SITUS_JURI,SITUS_STRE,SITUS_SUFF,SITUS_POST,SITUS_PRE_,SITUS_ADDR,SITUS_FRAC,SITUS_BUIL,SITUS_SUIT,ASR_LANDUS,NUCLEUS_ZO,NUCLEUS_US,SITUS_COMM,YEAR_EFFEC,TOTAL_LVG_,ADDITION_A,GARAGE_CON,GARAGE_STA,CARPORT_ST,USABLE_SQ_,QUAL_CLASS,NUCLEUS_SI,NUCLEUS__1,NUCLEUS__2,OVERLAY_JU,SHAPE_STAr,SHAPE_STLe
54364,5332311721,53323117,258425,1,PAR 1*US L21PER DOC03-447707&UND INT IN PHASE 2 BLDG ENVELOPE\,138000,427000,565000,2,423902,091517,0,T, ,08242,1,1,PM18790,PARCEL MAP NO 18790,001,015, ,N,92101-2553,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1780, , ,308,17,10,171,SAN DIEGO,03,1179,0,N,001, , ,C070,1780,0, ,SD,59132.3779297,1002.00949477
67929,5332311632,53323116,258425,1,PAR 1*US T31PER DOC03-447707&UND INT IN PHASE 1 BLDG ENVELOPE\,106000,344000,450000,1,507680,103117,0,T, ,08242,1,1,PM18790,PARCEL MAP NO 18790,001,010, ,N,92101-2549,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1750, , ,311,17,10,171,SAN DIEGO,03,937,0,N,001, , ,D070,1750,0, ,SD,59132.3779297,1002.00949477
67930,5332311728,53323117,258425,1,PAR 1*US L28PER DOC03-447707&UND INT IN PHASE 2 BLDG ENVELOPE\,219781,532973,752754,2,069549,021816,0,T,Y,08242,1,1,PM18790,PARCEL MAP NO 18790,002,020, ,Y,92101-2553,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1780, , ,311,17,10,171,SAN DIEGO,03,1692,0,N,002, , ,C070,1780,0, ,SD,59132.3779297,1002.00949477
69740,5332311655,53323116,258425,1,PAR 1*US T51PER DOC03-447707&UND INT IN PHASE 1 BLDG ENVELOPE\,103864,300712,404576,2,009129,010413,0,T,Y,08242,1,1,PM18790,PARCEL MAP NO 18790,001,015, ,N,92101-2550,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1750, , ,412,17,10,171,SAN DIEGO,03,902,0,N,001, , ,D070,1750,0, ,SD,59132.3779297,1002.00949477
70411,5332311620,53323116,258425,1,PAR 1*US T20PER DOC03-447707&UND INT IN PHASE 1 BLDG ENVELOPE\,296968,223045,520013,1,111643,112304,0,T,Y,08242,1,1,PM18790,PARCEL MAP NO 18790,002,025, ,N,92101-2548,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1750, , ,109,17,10,171,SAN DIEGO,03,1217,0,N,002, , ,D070,1750,0, ,SD,59132.3779297,1002.00949477
80407,5332311628,53323116,258425,1,PAR 1*US T27PER DOC03-447707&UND INT IN PHASE 1 BLDG ENVELOPE\,158000,432000,590000,1,757114,062603,0,T, ,08242,1,1,PM18790,PARCEL MAP NO 18790,002,020, ,N,92101-2549,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1750, , ,305,17,10,171,SAN DIEGO,03,1257,0,N,002, , ,D070,1750,0, ,SD,59132.3779297,1002.00949477
81137,5332311751,53323117,258425,1,PAR 1*US L51PER DOC03-447707&UND INT IN PHASE 2 BLDG ENVELOPE\,107501,356013,463514,1,388133,072315,0,T,Y,08242,1,1,PM18790,PARCEL MAP NO 18790, ,020, ,Y,92101-2554,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1780, , ,705,17,10,171,SAN DIEGO,03,1317,0,N,002, , ,C070,1780,0, ,SD,59132.3779297,1002.00949477
81442,5332311752,53323117,258425,1,PAR 1*US L52PER DOC03-447707&UND INT IN PHASE 2 BLDG ENVELOPE\,520200,260100,780300,1,238397,052617,0,T,Y,08242,1,1,PM18790,PARCEL MAP NO 18790, ,020, ,Y,92101-2554,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1780, , ,707,17,10,171,SAN DIEGO,03,1217,0,N,002, , ,C070,1780,0, ,SD,59132.3779297,1002.00949477
101737,5332311644,53323116,258425,1,PAR 1*US T55PER DOC03-447707&UND INT IN PHASE 1 BLDG ENVELOPE\,252000,523000,775000,1,498138,072507,0,T, ,08242,1,1,PM18790,PARCEL MAP NO 18790,002,025, ,N,92101-2549,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1750, , ,401,17,10,171,SAN DIEGO,03,1522,0,N,002, , ,D070,1750,0, ,SD,59132.3779297,1002.00949477
102836,5332311719,53323117,258425,1,PAR 1*US L19PER DOC03-447707&UND INT IN PHASE 2 BLDG ENVELOPE\,274727,535720,810447,2,329793,070116,0,T, ,08242,1,1,PM18790,PARCEL MAP NO 18790,002,020, ,N,92101-2553,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1780, , ,301,17,10,171,SAN DIEGO,03,1665,0,N,002, , ,C070,1780,0, ,SD,59132.3779297,1002.00949477
104331,5332311636,53323116,258425,1,PAR 1*US T35PER DOC03-447707&UND INT IN PHASE 1 BLDG ENVELOPE\,408000,122400,530400,1,086475,030618,0,T,Y,08242,1,1,PM18790,PARCEL MAP NO 18790,001,015, ,N,92101-2549,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1750, , ,303,17,10,171,SAN DIEGO,03,902,0,N,001, , ,D070,1750,0, ,SD,59132.3779297,1002.00949477
105024,7600070200,76000702,722876,1, ,144000,8000,152000,3,909305,090115,0,T, ,08242,7,1,TIDELANDS,TIDELANDS, , , , , ,6277941.57225,1844770.236,7,N,3934.9103111113172,150334.10930142063,SD,PACIFIC HWY & GRAPE,ST, , ,0, , , ,31,70,310, , ,0,0, , , , , ,0,0, ,SD,150334.026367,3934.91007377
105259,5332311624,53323116,258425,1,PAR 1*US T24PER DOC03-447707&UND INT IN PHASE 1 BLDG ENVELOPE\,86135,292865,379000,1,296162,061011,0,T, ,08242,1,1,PM18790,PARCEL MAP NO 18790,002,025, ,N,92101-2549,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1750, , ,204,17,10,171,SAN DIEGO,03,1229,0,N,002, , ,D070,1750,0, ,SD,59132.3779297,1002.00949477
105580,5332311745,53323117,258425,1,PAR 1*US L45PER DOC03-447707&UND INT IN PHASE 2 BLDG ENVELOPE\,219781,520884,740665,1,515307,081613,0,T, ,08242,1,1,PM18790,PARCEL MAP NO 18790,001,020, ,Y,92101-2554,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1780, , ,509,17,10,171,SAN DIEGO,03,1692,0,N,002, , ,C070,1780,0, ,SD,59132.3779297,1002.00949477
107849,5332311634,53323116,258425,1,PAR 1*US T33PER DOC03-447707&UND INT IN PHASE 1 BLDG ENVELOPE\,90880,264727,355607,1,515310,050203,0,T,Y,08242,1,1,PM18790,PARCEL MAP NO 18790,001,010, ,N,92101-2549,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1750, , ,307,17,10,171,SAN DIEGO,03,864,0,N,001, , ,D070,1750,0, ,SD,59132.3779297,1002.00949477
108010,7600072200,76000722,722876,1,SAN DIEGO BAY*FILE
